BDV36750.1	STM_v1_0.STM0168	29.7	512	287	14	84	558	61	536	9.17e-42	157
BDV36750.1	iYL1228.KPN_00131	29.4	494	290	14	93	558	70	532	3.05e-41	155
BDV36750.1	iML1515.b0123	30.3	492	290	14	84	558	61	516	1.17e-40	154
BDV36750.1	iSDY_1059.SDY_0030	30.4	483	283	14	93	558	70	516	2.20e-40	153
BDV36750.1	iSSON_1240.SSON_0131	30.2	483	284	14	93	558	70	516	2.20e-40	153
BDV36750.1	iSbBS512_1146.SbBS512_E0116	30.4	483	283	14	93	558	83	529	3.62e-40	152
BDV36750.1	iSF_1195.SF0119	30.2	483	284	14	93	558	70	516	4.13e-40	152
BDV36753.1	iCN900.CD630_13870	36.5	282	173	3	16	292	14	294	3.90e-44	154
BDV36754.1	iCN900.CD630_13860	26.9	219	158	2	8	225	4	221	5.31e-21	87.8
BDV36758.1	iAF987.Gmet_0771	30.2	202	111	4	7	186	2	195	1.07e-14	69.3
BDV36760.1	iJN1463.PP_2679	36.4	591	321	13	9	591	13	556	6.07e-107	335
BDV36761.1	iEK1008.Rv0458	70.9	492	143	0	14	505	16	507	2.16e-264	728
BDV36761.1	STM_v1_0.STM3680	71.6	493	140	0	13	505	20	512	2.46e-262	723
BDV36761.1	iSbBS512_1146.SbBS512_E4003	71.4	493	141	0	13	505	20	512	2.02e-261	721
BDV36761.1	iSF_1195.SF3626	71.4	493	141	0	13	505	50	542	6.02e-261	721
BDV36761.1	iML1515.b3588	71.2	493	142	0	13	505	20	512	2.34e-260	718
BDV36761.1	iCN718.ABAYE_RS07685	67.8	497	155	2	10	505	11	503	1.83e-250	693
BDV36761.1	iJN1463.PP_2680	69.1	492	152	0	14	505	15	506	8.29e-250	691
BDV36761.1	iJN1463.PP_0545	68.7	492	154	0	14	505	15	506	6.77e-249	689
BDV36761.1	iYL1228.KPN_02991	67.1	492	162	0	14	505	15	506	6.67e-242	671
BDV36765.1	iML1515.b0462	32.0	1057	670	17	5	1024	3	1047	1.52e-144	458
BDV36765.1	iJN1463.PP_3426	32.0	1046	662	15	1	1006	1	1037	2.07e-142	453
BDV36765.1	iSDY_1059.SDY_2654	31.8	1032	662	17	5	1004	3	1024	1.94e-139	444
