WP_010959374.1	iSynCJ816.SGL_RS13580	42.7	89	50	1	311	398	292	380	3.67e-08	55.8
WP_010959376.1	iCN900.CD630_07240	21.9	256	166	10	7	243	5	245	5.36e-06	46.2
WP_010959378.1	iJN1463.PP_5420	38.2	102	62	1	20	120	23	124	5.67e-13	60.8
WP_010959379.1	iYL1228.KPN_04143	61.7	261	85	3	14	259	6	266	4.76e-106	307
WP_010959379.1	iML1515.b3738	59.8	261	90	3	14	259	11	271	1.07e-103	301
WP_010959379.1	iSbBS512_1146.SbBS512_E4183	59.8	261	90	3	14	259	11	271	1.07e-103	301
WP_010959379.1	iSSON_1240.SSON_3881	59.8	261	90	3	14	259	11	271	1.07e-103	301
WP_010959379.1	STM_v1_0.STM3871	60.9	261	87	3	14	259	11	271	2.15e-103	301
WP_010959379.1	iSDY_1059.SDY_4010	59.8	261	90	3	14	259	11	271	2.15e-103	301
WP_010959379.1	iSF_1195.SF3818	59.4	261	91	3	14	259	11	271	3.05e-103	300
WP_010959379.1	iPC815.YPO4127	59.9	262	89	4	14	259	13	274	5.20e-100	292
WP_010959380.1	iJN1463.PP_5418	90.0	80	8	0	1	80	1	80	3.12e-44	137
WP_010959381.1	STM_v1_0.STM3869	49.0	149	76	0	1	149	1	149	2.21e-24	92.0
WP_010959381.1	iYL1228.KPN_04141	49.3	146	74	0	4	149	2	147	3.32e-23	89.0
WP_010959381.1	iML1515.b3736	51.0	149	73	0	1	149	1	149	1.38e-22	87.4
WP_010959381.1	iSbBS512_1146.SbBS512_E4185	51.0	149	73	0	1	149	1	149	1.38e-22	87.4
WP_010959381.1	iSDY_1059.SDY_4012	51.0	149	73	0	1	149	1	149	1.38e-22	87.4
WP_010959381.1	iSF_1195.SF3816	51.0	149	73	0	1	149	1	149	1.38e-22	87.4
WP_010959381.1	iSSON_1240.SSON_3883	51.0	149	73	0	1	149	1	149	1.38e-22	87.4
WP_010959381.1	iPC815.YPO4125	50.3	149	74	0	1	149	1	149	1.95e-22	87.0
WP_010959382.1	iML1515.b3735	39.3	173	104	1	1	173	1	172	1.33e-36	124
WP_010959382.1	iSbBS512_1146.SbBS512_E4186	39.3	173	104	1	1	173	1	172	1.33e-36	124
WP_010959382.1	iSSON_1240.SSON_3884	39.3	173	104	1	1	173	1	172	1.33e-36	124
WP_010959382.1	iSF_1195.SF3815	38.7	173	105	1	1	173	1	172	3.75e-36	123
WP_010959382.1	iJN1463.PP_5416	38.8	178	109	0	1	178	1	178	1.09e-35	122
WP_010959382.1	iSDY_1059.SDY_4013	38.7	173	105	1	1	173	1	172	1.06e-35	122
WP_010959382.1	STM_v1_0.STM3868	37.6	173	107	1	1	173	1	172	1.70e-34	119
WP_010959382.1	iPC815.YPO4124	38.7	173	105	1	1	173	1	172	9.57e-34	117
WP_010959382.1	iYL1228.KPN_04140	35.8	173	110	1	1	173	1	172	1.35e-33	117
WP_010959384.1	iJN1463.PP_5414	65.2	287	99	1	1	287	1	286	2.27e-123	353
